timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp_marked
300769105,0.9156659,-0.03507648,-0.059730038,0.3959269,0.3417624,-0.5860892,10.012193,12.574548,-0.19262108,31.440376,0
300785772,0.9133936,-0.03269662,-0.057939634,0.4016047,0.69263333,-0.51056165,10.307107,21.302925,3.150419,42.31287,0
300802439,0.91131574,-0.02989582,-0.0556062,0.40683892,0.9444095,-0.99668235,10.047769,25.312017,5.5754733,38.944176,0
300819106,0.90964323,-0.027200306,-0.053623892,0.41101587,1.1827763,-1.1980336,9.869812,23.34914,4.042518,31.15405,0
300835773,0.90774775,-0.024501534,-0.053511463,0.41536796,1.1117303,-0.9558151,9.848005,18.108479,-7.775618,32.52931,0
300852440,0.90533847,-0.021758383,-0.054159727,0.42066097,0.3651932,-0.71194625,9.824614,16.472597,-12.996911,39.724804,0
300869107,0.9031989,-0.019161532,-0.053984664,0.42538264,0.0737652,-0.780918,9.705899,17.77053,-7.2634315,35.566,0
300885774,0.9017737,-0.016673446,-0.052754376,0.428653,0.64935523,-0.7205365,9.902866,19.736519,0.0632956,24.643785,0
300902441,0.90063167,-0.013665667,-0.051647626,0.43128675,0.99889344,-0.65485686,10.169162,22.396091,-2.0585887,19.659813,0
300919108,0.8996838,-0.010292523,-0.05124322,0.4334023,1.0746367,-0.65429324,10.113133,22.409946,-7.3731475,15.679553,0
300935775,0.8992563,-0.007141057,-0.05200276,0.43426153,1.2398341,-1.2431223,9.811833,17.164463,-13.639773,6.3533244,0
300952442,0.8992917,-0.004306864,-0.05329923,0.4340684,1.3248564,-0.89394593,9.906909,13.247018,-15.794596,-1.4471965,0
300969109,0.8990628,-0.001576863,-0.05465687,0.4343919,1.1650455,-0.7417968,9.922468,12.602049,-15.973459,2.570885,0
300985776,0.8989775,0.0013211045,-0.055481732,0.4344648,1.1346949,-0.7000871,9.825005,15.139106,-13.1248255,0.536606,0
301002443,0.89909697,0.0042699953,-0.055654757,0.4341764,1.3083484,-0.64849967,9.80549,17.261568,-9.173022,-2.3331668,0
301019110,0.89910483,0.0076848287,-0.05600754,0.4340677,1.6464158,-0.49079353,10.104573,19.677586,-11.712273,-1.0626984,0
301035777,0.89870113,0.011747065,-0.05717959,0.43465963,1.7262206,-0.5199818,10.2365885,21.526377,-18.829668,4.2904143,0
